,N2EX,EUA(Ascending)
41963,62.37,6.95
41964,58.82,6.99
41965,56.59,7.006666667
41966,55.44,7.023333333
41967,63.44,7.04
41968,66.15,7.12
41969,68,7.19
41970,68.14,7.09
41971,60.84,7.04
41972,62.98,7.05
41973,63.81,7.06
41974,64.73,7.07
41975,61.59,6.85
41976,63.86,6.89
41977,66.78,6.84
41978,61.08,6.66
41979,58.89,6.66
41980,52.66,6.66
41981,56.84,6.66
41982,58.49,6.74
41983,55.55,6.56
41984,57.33,6.74
41985,57.08,6.66
41986,55.57,6.736666667
41987,49.59,6.813333333
41988,55.49,6.89
41989,56.17,6.91
41990,52.28,6.99
41991,52.74,7.04
41992,51.46,7.08
41993,51.32,7.09
41994,51.72,7.1
41995,50.62,7.11
41996,52.03,7.25
41997,49.76,7.37
41998,50.73,7.37
41999,56.9,7.37
42000,55.2,7.33
42001,57.7,7.29
42002,60.16,7.25
42003,57.98,7.21
42004,52.85,7.25
42005,47.5,7.13
42006,46.44,7.01
42007,53.41,6.973333333
42008,54.64,6.936666667
42009,54.74,6.9
42010,52.58,6.77
42011,49.55,6.78
42012,49.26,6.81
42013,47.7,6.71
42014,43.7,6.71
42015,44.7,6.71
42016,49.3,6.71
42017,51.34,7.29
42018,49.28,7.16
42019,50.06,7.12
42020,53.27,7.13
42021,53.33,7.156666667
42022,52.64,7.183333333
42023,57.03,7.21
42024,53.8,7.16
42025,55.59,7.32
42026,56.68,6.76
42027,51.08,6.8
42028,50.41,6.816666667
42029,52.92,6.833333333
42030,53.57,6.85
42031,51.81,6.84
42032,47.46,6.95
42033,52.25,7.06
42034,53.41,7.08
42035,47.21,7.096666667
42036,52.52,7.113333333
42037,58.52,7.13
42038,57.11,7.06
42039,54.9,6.93
42040,59.91,7
42041,58.42,6.95
42042,56.66,6.936666667
42043,56.02,6.923333333
42044,61.75,6.91
42045,65.05,7.1
42046,60.73,7.23
42047,65.73,7.39
42048,57.76,7.63
42049,59.08,7.636666667
42050,56.07,7.643333333
42051,59.23,7.65
42052,57.43,7.47
42053,54.96,7.49
42054,55.17,7.34
42055,57.63,7.32
42056,55.54,7.446666667
42057,58.08,7.573333333
42058,56.2,7.7
42059,55.3,7.47
42060,57.47,7.39
42061,55.56,7.06
42062,60.32,7.1
42063,57.68,7.05
42064,48.05,7
42065,58.84,6.95
42066,56.66,6.73
42067,57.33,7.02
42068,55.41,6.75
42069,56.47,6.8
42070,49.8,6.76
42071,46.95,6.72
42072,52.9,6.68
42073,56.39,6.82
42074,57.12,6.76
42075,55.99,6.41
42076,58.96,6.46
42077,57.31,6.47
42078,56.05,6.48
42079,57,6.49
42080,58.8,6.73
42081,57.45,6.74
42082,56.68,6.67
42083,57.48,7.04
42084,55.21,7.04
42085,56.16,7.04
42086,57.63,7.04
42087,57.63,7.03
42088,59.96,6.97
42089,54.65,6.95
42090,58.28,6.76
42091,55.14,6.8
42092,54.28,6.84
42093,58.47,6.88
42094,54.86,6.92
42095,61.92,7.14
42096,68.29,7.15
42097,62.85,7.15
42098,62.59,7.15
42099,61.67,7.15
42100,59.47,7.15
42101,64.07,7.11
42102,60.79,7.12
42103,61.68,7.01
42104,61.58,6.94
42105,53.99,6.893333333
42106,55.07,6.846666667
42107,64.47,6.8
42108,59.88,6.8
42109,61.5,6.85
42110,63.2,6.87
42111,63.49,6.84
42112,60.34,6.936666667
42113,60.74,7.033333333
42114,61.66,7.13
42115,59.63,7.08
42116,60.03,7.09
42117,60.97,7.25
42118,60.04,7.28
42119,58.11,7.236666667
42120,60.65,7.193333333
42121,62.02,7.15
42122,59,7.35
42123,60.42,7.46
42124,59.25,7.39
42125,58.81,7.48
42126,54.18,7.513333333
42127,48.75,7.546666667
42128,53.77,7.58
42129,50.7,7.55
42130,53.21,7.53
42131,57.69,7.43
42132,57.55,7.53
42133,60.43,7.56
42134,57.13,7.59
42135,50.13,7.62
42136,53.42,7.59
42137,61.63,7.64
42138,59.17,7.55
42139,58.91,7.59
42140,50.89,7.593333333
42141,50.96,7.596666667
42142,55.47,7.6
42143,55.84,7.37
42144,56.68,7.35
42145,57.83,7.3
42146,58.29,7.3
42147,57.72,7.32
42148,55.09,7.34
42149,58.76,7.36
42150,58.78,7.22
42151,60.45,7.17
42152,57.82,7.18
42153,59.2,7.32
42154,57.35,7.293333333
42155,49.36,7.266666667
42156,53.88,7.24
42157,52.14,7.44
42158,56.54,7.48
42159,60.76,7.39
42160,57.31,7.4
42161,50.32,7.413333333
42162,53.58,7.426666667
42163,62.46,7.44
42164,59.59,7.56
42165,54.55,7.58
42166,59.07,7.5
42167,57.71,7.61
42168,57.79,7.576666667
42169,57.19,7.543333333
42170,59.76,7.51
42171,58.85,7.41
42172,56.6,7.46
42173,57.18,7.45
42174,57.02,7.41
42175,59.44,7.426666667
42176,53.92,7.443333333
42177,54.7,7.46
42178,59.28,7.48
42179,59.18,7.48
42180,59.35,7.58
42181,58.64,7.52
42182,61.29,7.456666667
42183,55.84,7.393333333
42184,58.98,7.33
42185,58.97,7.42
42186,56.8,7.47
42187,58.86,7.43
42188,58.39,7.42
42189,56.3,7.4
42190,56.4,7.38
42191,59.44,7.36
