,N2EX,EUA(Ascending)
42893,35.77,4.87
42894,45.13,5.04
42895,43.53,5.04
42896,43.66,4.996666667
42897,36.64,4.953333333
42898,39.54,4.91
42899,42.29,5
42900,40.99,4.93
42901,38.96,4.95
42902,33.88,4.87
42903,37.15,4.886666667
42904,40.37,4.903333333
42905,46.44,4.92
42906,44.61,4.94
42907,46.64,4.87
42908,47.18,4.86
42909,42,4.86
42910,42.18,4.83
42911,42.77,4.8
42912,64.03,4.77
42913,46.01,4.93
42914,44.39,4.93
42915,45.98,5.16
42916,46.9,5.02
42917,48.32,5.056666667
42918,42.4,5.093333333
42919,46.64,5.13
42920,57.45,5.11
42921,56.56,5.04
42922,53.45,5.23
42923,46.5,5.33
42924,43.25,5.35
42925,42.23,5.37
42926,54.23,5.39
42927,66.83,5.32
42928,46.54,5.47
42929,43.77,5.35
42930,43.95,5.41
42931,40.97,5.416666667
42932,40.02,5.423333333
42933,45.12,5.43
42934,41.77,5.45
42935,42.6,5.38
42936,42.8,5.29
42937,44.12,5.08
42938,44.08,5.096666667
42939,45.03,5.113333333
42940,44.22,5.13
42941,48.42,5.15
42942,43.08,5.24
42943,43.43,5.13
42944,42.8,5.17
42945,41.16,5.186666667
42946,43.33,5.203333333
42947,43.98,5.22
42948,46.47,5.29
42949,44.3,5.42
42950,44.37,5.42
42951,43.18,5.34
42952,44.33,5.313333333
42953,42.98,5.286666667
42954,46.08,5.26
42955,47.63,5.26
42956,43.33,5.36
42957,48.13,5.36
42958,47.19,5.38
42959,45.73,5.423333333
42960,49.46,5.466666667
42961,46.91,5.51
42962,47.01,5.52
42963,44.75,5.79
42964,46.19,5.8
42965,46.39,5.81
42966,35.3,5.786666667
42967,46.31,5.763333333
42968,51.14,5.74
42969,51.33,5.77
42970,45.7,5.94
42971,47.94,5.94
42972,48.4,6.08
42973,48.34,6.083333333
42974,46.84,6.086666667
42975,47.46,6.09
42976,50.86,6.03
42977,50.15,6.02
42978,50.58,5.93
42979,48.79,5.82
42980,48.75,5.85
42981,47.58,5.88
42982,47.17,5.91
42983,47.71,6.49
42984,48,6.69
42985,48.33,6.89
42986,45.91,7.06
42987,49.97,6.996666667
42988,48.38,6.933333333
42989,44.4,6.87
42990,50.27,6.86
42991,50.35,7.09
42992,52.73,7.09
42993,52.65,6.94
42994,54.79,6.866666667
42995,53.72,6.793333333
42996,61.78,6.72
42997,62.86,7.02
42998,53.09,6.9
42999,54.71,6.55
43000,52.71,6.64
43001,49.49,6.85
43002,48.33,7.06
43003,51.77,7.27
43004,52.92,6.97
43005,53,6.92
43006,55.94,6.96
43007,50.14,7.06
43008,51.7,7.016666667
43009,50.59,6.973333333
43010,43.09,6.93
43011,47.71,6.99
43012,51.02,6.89
43013,51.86,6.88
43014,52.29,6.99
43015,49.4,6.976666667
43016,52.59,6.963333333
43017,55.98,6.95
43018,53.19,7.39
43019,52.7,7.38
43020,52,7.41
43021,48.51,7.32
43022,50.17,7.333333333
43023,47.33,7.346666667
43024,51.88,7.36
43025,53.38,7.42
43026,57.17,7.81
43027,53.23,7.65
43028,50.99,7.57
43029,48.94,7.526666667
43030,47.33,7.483333333
43031,51.81,7.44
43032,51.83,7.47
43033,52.13,7.4
43034,55.72,7.2
43035,52.63,7.17
43036,51.2,7.16
43037,46.61,7.15
43038,53.93,7.14
43039,52.6,7.37
43040,51.02,7.51
43041,54.82,7.66
43042,56.02,7.88
43043,52.16,7.893333333
43044,50.04,7.906666667
43045,53.74,7.92
43046,56.35,7.75
43047,56.95,7.72
43048,56.4,7.55
43049,57.06,7.4
43050,57.81,7.383333333
43051,54.51,7.366666667
43052,58.73,7.35
43053,60.12,7.39
43054,59.21,7.69
43055,55.28,7.5
43056,57.24,7.48
43057,55.33,7.466666667
43058,57.58,7.453333333
43059,56.98,7.44
43060,55.76,7.39
43061,56.92,7.37
43062,55.63,7.66
43063,59.27,7.77
43064,56.73,7.746666667
43065,56.74,7.723333333
43066,57.78,7.7
43067,59.73,7.59
43068,60.23,7.7
43069,60.82,7.53
43070,61.88,7.68
43071,61.46,7.636666667
43072,59.65,7.593333333
43073,62.85,7.55
43074,60.68,7.43
43075,59.69,7.27
43076,60.53,7.35
43077,62.01,7.14
43078,63.38,7.16
43079,60.7,7.18
43080,65.02,7.2
43081,76.68,7.14
43082,71.69,7.07
43083,66.82,7.09
43084,62.53,7.18
43085,64.87,7.25
43086,62.88,7.32
43087,66.36,7.39
43088,64.37,7.5
43089,65.36,7.77
43090,63.26,7.98
43091,60.39,8.15
43092,58.1,8.15
43093,55.81,8.15
43094,59.55,8.15
43095,56.38,8.15
43096,60.13,8.13
43097,63.43,8.17
43098,59.62,8.14
43099,58.35,8.05
43100,50.34,7.96
43101,51.9,7.87
43102,58.22,7.78
43103,55.93,7.8
43104,59.97,7.74
43105,63.87,7.75
43106,56.59,7.706666667
43107,57.89,7.663333333
43108,57.64,7.62
43109,59.36,7.75
43110,64.61,7.86
43111,63.56,7.79
43112,58.3,7.83
43113,57.55,7.81
43114,56.07,7.79
43115,55.69,7.77
43116,55.93,8.02
43117,55.33,8.15
43118,56.55,8.46
43119,53.23,8.73
43120,59.69,8.726666667
43121,54.91,8.723333333
43122,55.22,8.72
43123,53.16,8.98
43124,53.79,9.42
43125,55.92,9.21
43126,58.95,9.06
43127,53.05,9.03
43128,52.06,9
43129,46.09,8.97
43130,52.78,8.86
43131,52.69,9.25
43132,53.12,9.24
43133,55.65,8.93
43134,56.74,8.97
43135,53.88,9.01
43136,57.08,9.05
43137,56.06,8.78
43138,54.86,8.97
43139,56.62,9.1
43140,54.85,9.21
43141,54.18,9.293333333
43142,52.99,9.376666667
43143,56.09,9.46
43144,53.9,9.87
43145,55.61,9.58
43146,53.8,9.52
43147,54.85,9.5
43148,55.67,9.62
43149,55.79,9.74
43150,57.86,9.86
43151,57.14,9.7
43152,59.95,9.54
43153,61.52,9.7
43154,61.58,9.79
43155,62.43,9.73
43156,61.26,9.67
43157,67.29,9.61
43158,69.26,10.13
43159,71.72,10.08
43160,93.05,9.97
43161,104.44,10.12
43162,85.12,10.19333333
43163,74.35,10.26666667
43164,70.32,10.34
43165,59.31,10.45
43166,59.23,10.62
43167,57.75,11.1
43168,59.22,11.1
43169,56.94,11.08666667
43170,60.3,11.07333333
43171,59.39,11.06
43172,86.12,11.38
43173,62.6,11.18
43174,62.24,11.16
43175,61.76,11.15
43176,63.28,11.11333333
43177,61.69,11.07666667
43178,62.58,11.04
43179,60.81,11.52
43180,58.52,12.82
43181,60.81,12.31
43182,59.78,12.58
43183,62.25,12.70666667
43184,57.67,12.83333333
43185,59.37,12.96
43186,54,13.65
43187,59.05,12.96
43188,58.48,13.26
43189,56.57,13.26
43190,54.11,13.26
43191,57.37,13.26
43192,55.38,13.26
43193,57.98,13.27
43194,55.59,13.02
43195,56.49,12.61
43196,53.88,12.96
43197,57.94,13.07333333
43198,57.37,13.18666667
43199,62.05,13.3
43200,57.48,13.34
43201,58.64,13.39
43202,61.49,13.55
43203,66.54,13.9
43204,61.23,13.91666667
43205,57.9,13.93333333
43206,59.45,13.95
43207,55.01,13.7
43208,57.59,13.85
43209,57.99,13.42
43210,57.84,13.01
43211,57.1,12.95666667
43212,54.93,12.90333333
43213,53.87,12.85
43214,58.53,13.18
43215,56.45,13.21
43216,57.37,13.44
43217,64.7,13.51
43218,57.92,13.52
43219,58.39,13.53
43220,59.22,13.54
43221,57.22,13.34
43222,59.37,13.02
43223,60.78,12.92
43224,58.92,12.98
43225,56.4,13.18
43226,56.3,13.38
43227,57.11,13.58
43228,57.62,13.56
43229,57.45,13.96
43230,60.6,14.57
43231,59.23,14.6
43232,58.57,14.6
43233,57.79,14.6
43234,59.07,14.6
43235,59.22,14.29
43236,63.43,15.15
43237,60.25,15.27
43238,62.61,15.22
43239,62.44,15.32333333
43240,61.47,15.42666667
43241,62.07,15.53
43242,62.32,15.92
43243,62.44,15.98
43244,63.92,16.26
43245,65.75,15.97
43246,62.87,16.07333333
43247,53.81,16.17666667
43248,68.83,16.28
43249,61.7,16.27
43250,67.11,15.81
43251,66.18,14.88
43252,66.61,15.26
43253,63.91,15.54
43254,62.45,15.82
43255,65.6,16.1
43256,62.39,15.74
43257,66.21,15.9
43258,62.72,15.97
43259,63.58,15.79
43260,63.15,15.68
43261,62.22,15.57
43262,61.26,15.46
43263,60.51,15.12
43264,59.4,15.28
43265,53.49,14.88
43266,63.85,14.5
43267,62.22,14.52333333
43268,59.51,14.54666667
43269,58.69,14.57
43270,64.22,14.21
43271,59.22,14.47
43272,59.48,14.78
43273,59.78,15.09
43274,58.32,15.05666667
43275,59.81,15.02333333
43276,62.87,14.99
43277,62.51,14.99
43278,60.53,15.21
43279,61.91,14.96
43280,61.03,14.95
43281,57.57,14.97666667
43282,59.64,15.00333333
43283,60.16,15.03
43284,63.73,15.06
43285,67.07,15.48
43286,63.51,15.64
43287,62.21,15.66
43288,63.17,15.76
43289,62.87,15.86
43290,65.98,15.96
43291,62.78,16.01
43292,64.8,16.28
43293,65.41,16.05
43294,64.77,16.02
43295,62.93,15.97666667
43296,63.02,15.93333333
43297,68.27,15.89
43298,67.08,16.04
43299,67.11,16.37
43300,65.91,16.82
43301,65.6,17.03
43302,64.52,17.13666667
43303,63.23,17.24333333
43304,64.69,17.35
43305,65.85,17.06
43306,65.74,17.3
43307,67.19,17.25
43308,66.43,17.06
43309,59.63,17.04
43310,56.97,17.02
43311,64.79,17
43312,63.58,17.36
43313,65.13,17.74
43314,65.29,17.59
43315,66.48,17.63
43316,63.06,17.59666667
43317,63.99,17.56333333
43318,65.54,17.53
43319,65.41,17.47
43320,64.64,17.36
43321,65.23,17.56
43322,64.22,17.85
43323,65.42,17.88333333
43324,66.51,17.91666667
43325,67.75,17.95
43326,68.37,18.12
43327,65.34,18.05
43328,66.02,17.95
43329,65.24,18.1
43330,64.23,18.21666667
43331,67.39,18.33333333
43332,79.15,18.45
43333,71.53,18.45
43334,70.5,19.78
43335,69.97,20.36
43336,68.46,20.65
43337,68.97,20.86
43338,67.67,21.07
43339,60.99,21.28
43340,72.82,20.65
43341,72.51,21.02
43342,75.33,21.13
43343,72.99,21.06
43344,71.98,20.77666667
43345,68.56,20.49333333
43346,73.25,20.21
43347,74.12,20.14
43348,75,20.34
43349,74.2,21.44
43350,75.74,23.19
43351,76.89,23.85666667
43352,74.05,24.52333333
43353,75.81,25.19
43354,72.22,24.13
43355,79.7,22.92
43356,77.46,18.87
43357,76.28,19.94
43358,72.91,20.26
43359,63.65,20.58
43360,71.37,20.9
43361,70.31,20.19
43362,68.38,21.43
43363,71.43,21.98
43364,73.35,22.08
43365,73.47,22.17666667
43366,79.97,22.27333333
43367,81.27,22.37
43368,78.88,21.19
43369,74,20.18
43370,77.77,20.77
43371,76.24,21.16
43372,76.37,21.21333333
43373,76.39,21.26666667
43374,75.74,21.32
43375,67.91,20.95
43376,77.38,21.14
43377,74.73,21.3
43378,74.75,22.11
43379,75.55,22.03666667
43380,74.88,21.96333333
43381,71.86,21.89
43382,75.54,20.75
43383,75.42,19.43
43384,72.79,19.85
43385,67.99,20.35
43386,68.79,19.75666667
43387,76.64,19.16333333
43388,76.98,18.57
43389,75.49,19.28
43390,76.26,19.26
43391,73.95,19.73
43392,72.68,19.7
43393,72.72,19.49666667
43394,71.91,19.29333333
43395,71.48,19.09
43396,66.51,19.23
43397,68.99,19.61
43398,72.53,19.08
43399,70.39,18.28
43400,69.87,17.74666667
43401,69.27,17.21333333
43402,73.5,16.68
43403,73.06,16.02
43404,73.48,16.36
43405,71.06,15.62
43406,69.02,17.08
43407,62.83,17.13
43408,63.98,17.18
43409,69.19,17.23
43410,65.33,17.57
43411,67.92,18.62
43412,66.63,19.56
43413,67.78,19.5
43414,69.27,19.83333333
43415,68.12,20.16666667
43416,66.3,20.5
43417,68.92,20.14
43418,68.31,19.74
43419,72.42,19
43420,72.94,19.11
43421,70.74,19.05
43422,69.62,18.99
43423,71.42,18.93
43424,67.78,19.46
43425,72.54,20.49
43426,87.56,20.92
43427,80.57,20.21
43428,71.89,20.08333333
43429,70.85,19.95666667
43430,88.45,19.83
43431,70.34,19.6
43432,66.49,19.29
43433,65.63,20.02
43434,63.6,20.5
43435,67.82,20.54333333
43436,67.68,20.58666667
43437,70.05,20.63
43438,79.3,20.73
43439,69.76,19.67
43440,67.96,19.99
43441,62.69,20.29
43442,56.81,20.48
43443,61.99,20.67
43444,72.03,20.86
43445,68.48,20.16
43446,69.29,21.47
43447,68.76,22.32
43448,72.9,23.37
43449,69.14,23.66666667
43450,69.93,23.96333333
43451,73.66,24.26
43452,68.58,24.03
43453,70.8,24.32
43454,71.15,24.17
43455,72.23,24.6
43456,71.2,24.68
43457,75.67,24.76
43458,74.4,24.84
43459,72.8,24.84
43460,70.96,24.84
43461,76.72,24.67
43462,72.63,24.64
43463,68.27,24.65
43464,67.32,24.66
